order_number,fulfillment,num_products,total_sales
1371011,"In store",7,18601
1599043,"In store",5,14433
1885025,"In store",2,9714
1812007,"In store",2,7292
1321003,"In store",3,6275
1492017,"In store",3,5937
1798015,"In store",2,5557
1657003,"In store",2,5535
1827003,"In store",2,5456
1813002,"In store",4,4963
1983004,"In store",3,4707
1639015,"In store",7,4346
1820019,"Online",5,4101
1501025,"In store",4,3917
1737027,"In store",3,3783
1254000,"In store",2,3757
1828058,"In store",2,3526
2175000,"In store",4,3405
1850011,"In store",2,3099
1388011,"Online",2,3000
1393022,"In store",1,2757
2144004,"In store",3,2749
2192014,"In store",1,2699
1739033,"In store",3,2636
1893028,"In store",2,2613
1410029,"In store",1,2499
1032012,"In store",2,2495
666011,"In store",3,2477
1947015,"In store",1,2412
1374006,"In store",4,2247
755003,"Online",3,2232
1849000,"In store",5,2115
2152009,"Online",7,2113
1715004,"In store",3,1905
1020007,"In store",4,1894
1800023,"In store",1,1881
1885000,"In store",2,1817
911003,"In store",2,1809
1436011,"In store",3,1774
600006,"Online",4,1726
1340009,"In store",2,1688
1669018,"In store",3,1655
1023001,"Online",2,1580
1504008,"In store",3,1569
1428004,"In store",5,1563
1862001,"In store",3,1552
744000,"In store",4,1465
1779006,"In store",1,1393
1769017,"In store",2,1383
1487027,"In store",4,1369
1701018,"In store",2,1228
1457067,"Online",1,1058
1155018,"In store",1,1000
1634000,"In store",3,994
1470028,"In store",4,889
1864024,"In store",3,845
387005,"In store",3,740
1394029,"Online",2,737
1276005,"In store",1,736
728013,"In store",3,735
1319033,"In store",1,699
652002,"In store",1,624
1883038,"Online",1,600
786002,"In store",1,543
1476005,"In store",1,536
1625021,"In store",4,533
1095040,"In store",2,530
1456008,"In store",3,480
1751011,"In store",3,411
1618024,"In store",2,369
1680019,"In store",1,360
1231012,"In store",1,340
1330005,"In store",3,321
1753031,"In store",2,321
1153005,"In store",2,320
1735000,"In store",1,300
1519031,"In store",1,290
2165005,"In store",1,290
1731020,"Online",1,258
1255008,"In store",1,256
1711012,"In store",2,236
799005,"In store",1,230
1834023,"In store",1,219
1843003,"In store",1,203
1039011,"In store",1,200
1121013,"Online",1,200
423011,"In store",1,200
1836002,"Online",1,179
1464006,"Online",2,172
1357019,"Online",1,165
395005,"In store",2,164
1112009,"In store",1,160
1528014,"In store",2,148
701003,"In store",1,130
1668015,"In store",1,120
1587003,"In store",1,70
1331016,"Online",1,68
1666019,"In store",1,51
1709012,"Online",1,47
1450050,"Online",1,3
